Time (ms),Vert[0],Vert[1],Vert[2],Vert[3],Vert[4],Vert[5],Vert[6],Vert[7],
88.14999,24.0650106923768,24.062951554381,24.0594219485925,24.0564806049868,24.0541275257855,24.0523627145023,24.051186172538,24.0505979012202,
88.2,25.7140759758322,25.7120167789454,25.7084870579716,25.7055456082763,25.7031924375577,25.7014275537443,25.7002509615676,25.6996626645847,
88.25,27.6072122773548,27.6051531905731,27.6016236847654,27.5986824329229,27.5963294325767,27.5945646835722,27.593388184607,27.59279993523,
88.3,29.7908511056278,29.7887924348042,29.7852637420557,29.7823232381882,29.7799708822491,29.7782066433658,29.7770304972394,29.7764424281067,
88.35,32.2930138515768,32.2909561038265,32.2874292154843,32.2844903717664,32.2821394462768,32.28037633988,32.2792009771336,32.2786133082047,
88.4,35.0854486403161,35.0833925609268,35.0798689339634,35.0769330910562,35.074584751342,35.0728236922164,35.0716497456999,35.071062800297,
88.45,38.0241369947401,38.0220834552542,38.0185647935047,38.0156335193036,38.0132891165857,38.0115311746792,38.0103593846128,38.0097735409229,
88.5,40.8054177367037,40.8033672789757,40.7998546418365,40.7969289113715,40.7945892860844,40.7928351269906,40.791665953908,40.7910814472413,
88.55,43.0411092888712,43.0390614421895,43.0355539096237,43.0326328765875,43.0302972996849,43.0285463463366,43.0273793911237,43.0267960176063,
88.6,44.4877111218504,44.4856645024804,44.482159369471,44.4792405448961,44.4769068715896,44.4751574258175,44.4739915137163,44.4734086731774,
88.64999,45.1770625485516,45.1750160901941,45.1715112721005,45.1685927375593,45.1662593144346,45.1645100669298,45.1633442920834,45.1627615216979,
88.7,45.2782473270697,45.276200813726,45.2726958881521,45.2697772547347,45.2674437464255,45.2656944314881,45.2645286100006,45.2639458157891,
88.75,44.9382825255092,44.9362360879622,44.9327313105364,44.9298128133943,44.9274794224783,44.9257302004618,44.9245644432408,44.9239816818577,
88.8,44.2485847468341,44.2465384997619,44.2430340946757,44.2401159401113,44.237782844379,44.2360338560634,44.2348682605035,44.2342855817085,
88.85,43.2658717050225,43.2638256926033,43.2603217462282,43.2574040137304,43.2550712816937,43.2533225813347,43.2521571849745,43.2515746079475,
88.9,42.0322199911801,42.0301742066836,42.0266707058664,42.0237533833381,42.0214210045783,42.0196725839306,42.0185073810683,42.0179249028971,
88.95,40.5858378714459,40.5837922708256,40.5802891294605,40.5773721376724,40.5750400439151,40.5732918489208,40.5721268021601,40.571544403739,
88.99999,38.9654405378013,38.9633950431555,38.9598921089516,38.9569753077697,38.9546433782526,38.9528953132919,38.9517303564824,38.9511480040153,
89.05,37.2106260074441,37.2085805046287,37.205077554443,37.202160738535,37.1998287963081,37.19808072127,37.1969157574814,37.1963334014463,
89.1,35.3596967950028,35.3576511313033,35.3541478665904,35.3512307612396,35.3488985695595,35.3471502969877,35.3459851965358,35.3454027706766,
89.14999,33.4463774338371,33.4443314240248,33.4408274826773,33.4379097546797,33.4355770264009,33.433828328931,33.432662934523,33.4320803584784,
89.2,31.4971675968294,31.495121043094,31.4916160384091,31.4886973319293,31.4863637604045,31.4846143952315,31.4834485388931,31.4828657268449,
89.25,29.5307214122965,29.5286741342063,29.5251677134546,29.52224770392,29.5199130094443,29.5181627550967,29.516996283613,29.5164131572834,
89.3,27.5595010243401,27.5574528876918,27.5539447885171,27.5510232345155,27.5486872090499,27.546935900803,27.5457687002172,27.5451852013859,
89.35,25.592886430329,25.5908373656193,25.5873274521494,25.5844042286582,25.5820667644666,25.5803143170174,25.5791463283177,25.5785624268362,
89.4,23.640646465439,23.6385964733251,23.6350847468476,23.6321598550584,23.6298209531744,23.6280673673459,23.6268985911047,23.626314287266,
89.45,21.7159435312326,21.7138926762812,21.7103792630237,21.7074528190977,21.7051125796342,21.7033579347034,21.7021884257683,21.7016037475955,
89.49999,19.8372913704397,19.8352397648219,19.8317248840753,19.82879708981,19.8264556866802,19.82470012036,19.8235299740061,19.8229449701765,
89.55,18.0289489925213,18.0268967715213,18.023380687762,18.0204517865334,18.0181094294807,18.0163531078544,18.015182438983,18.0145971682012,
89.6,16.3193578560513,16.3173051496769,16.3137881170647,16.3108583427532,16.3085152333359,16.306758316004,16.3055872350308,16.3050017537093,
89.64999,14.7377168144448,14.7356637230701,14.7321459378318,14.7292154710055,14.726871764835,14.7251143750143,14.723942967183,14.7233573188735,
89.7,13.3096217215114,13.3075683043374,13.3040498822065,13.301118829361,13.2987746182119,13.2970168285702,13.2958451441529,13.2952593545393,
89.75,12.0533367135401,12.0512829932738,12.0477639786402,12.0448323806194,12.0424876996869,12.04072953809,12.0395575963633,12.0389716752938,
89.8,10.9780454059938,10.9759913842174,10.9724717801717,10.9695396398156,10.9671944915434,10.9654359599233,10.9642637622226,10.9636777103789,
89.85,10.0843679834108,10.0823136564586,10.0787934558324,10.0758607665411,10.0735151452378,10.0717562390859,10.0705837822903,10.0699975980776,
89.89999,9.36636377556981,9.36430914403986,9.36078834800062,9.35785511084537,9.35550901743178,9.35374973747487,9.35257702208652,9.35199070576092,
89.95,8.8139142677648,8.81185933919767,8.80833796248539,8.80540419102767,8.80305763718872,8.80129799267785,8.80012502509586,8.79953857992652,
89.99999,8.41473568921464,8.41268047694818,8.40915854563642,8.40622426386713,8.40387727027606,8.4021172775795,8.40094406912706,8.40035750089884,
90.05,8.15577794632351,8.15372246731923,8.15020001456567,8.1472652529946,8.14491784594263,8.14315752587713,8.14198409095498,8.14139740702513,
90.1,8.02407985575552,8.02202412872552,8.0185011911102,8.01556598339636,8.01321819188868,8.01145756741997,8.01028392191557,8.00969713040085,
90.15,8.00724467355987,8.00518871768404,8.00166533270148,7.99872971334539,7.99638156711239,7.99462066178041,7.99344682197844,7.99285993119862,
90.2,8.09368108006266,8.09162491418911,8.08810111868528,8.0851651215907,8.08281664984849,8.08105548678602,8.07988146868951,8.07929448682041,
90.25,8.27270840303171,8.27065204519357,8.26712787442125,8.26419153202597,8.2618427627274,8.26008136406695,8.25890718298695,8.2583201178509,
90.3,8.53458623199892,8.53252969911958,8.52900518616208,8.52606852890769,8.52371948828538,8.52195787479746,8.52078354510279,8.52019640404072,
90.34999,8.8705038666223,8.86844717432604,8.86492234972714,8.86198540571844,8.85963611799137,8.8578743088521,8.8566998438086,8.85611263359796,
90.39999,9.27255093319687,9.27049409567259,9.26696898717003,9.26403178192991,9.26168226909212,9.25992028171598,9.25874569337084,9.25815842016645,
90.45,9.73368283179338,9.7316258616771,9.72810049397295,9.72516305023103,9.72281333186954,9.7210511817652,9.71987648084718,9.7192891501303,
90.5,10.247690590983,10.2456334992359,10.2421078937581,10.2391702312313,10.2368203243371,10.2350580249577,10.2338832207736,10.2332958372991,
90.55,10.8091825878546,10.8071253836208,10.8035995582451,10.800661693382,10.7983116121294,10.7965491746981,10.795374275012,10.7947868427463,
90.6,11.4135845765388,11.4115272669733,11.4080012356871,11.4050631813583,11.4027129368385,11.4009503701372,11.3997753810243,11.3991879030714,
90.65,12.0571641008637,12.0551066909285,12.051580463432,12.0486422285632,12.046291828468,12.0445291385869,12.0433540642606,12.042766542773,
90.7,12.7370854025821,12.7350278948159,12.7315014760719,12.7285630652299,12.7262125134948,12.7244497035499,12.7232745461658,12.7226869822448,
90.75,13.4515012718766,13.4494436661547,13.4459170559197,13.4429784688801,13.4406277653115,13.4388648351499,13.4376895946019,13.4371019881935,
90.8,14.1996889478705,14.1976312411838,14.1941044335748,14.1911656649243,14.1888148048573,14.1870517507848,14.1858764245176,14.185288774316,
90.85,14.9822383378237,14.9801805241204,14.9766535073066,14.9737145461582,14.9713635202104,14.9696003347979,14.9684249176716,14.9678372210509,
90.89999,15.8013028124013,15.7992448825549,15.795717638694,15.7927784686289,15.7904272626502,15.7886639346931,15.7874884189561,15.786900671956,
90.95,16.660926073145,16.658868015137,16.6553405207329,16.6524011201289,16.6500497154846,16.6482862302267,16.64711060567,16.6465228030744,
91,17.5674633866985,17.5654051861462,17.5618774130803,17.5589377560605,17.5565861304482,17.5548224702285,17.5536467246331,17.5530588601989,
91.05,18.5301215294931,18.5280631707234,18.5245350883533,18.5215951467168,18.5192432758296,18.5174794213988,18.5163035414464,18.5157156083688,
91.1,19.5616470356154,19.5595885036141,19.5560600825841,19.5531198293115,19.5507676898588,19.5490036227706,19.5478275956973,19.5472395874546,
91.15,20.6791905231706,20.6771318069698,20.6736030258323,20.6706624411781,20.6683100161342,20.6665457229008,20.665369539372,20.6647814511939,
91.2,21.9053500096776,21.9032911081507,21.8997619646952,21.8968210466108,21.8944683341966,21.8927038133996,21.8915274724289,21.8909393038096,
91.24999,23.2693103989029,23.2672513306209,23.2637218611405,23.2607806430018,23.2584276719604,23.2566629463453,23.2554864636608,23.2548982226335,
91.3,24.8077646138564,24.8057054337059,24.8021757454837,24.7992343259829,24.7968811813384,24.795116318209,24.7939397403622,24.793351450707,
91.35,26.5647444395414,26.5626852661373,26.5591555910359,26.5562141834921,26.5538610490425,26.5520961939073,26.5509196215488,26.5503313346842,
91.39999,28.5882711415327,28.586212200187,28.5826829786491,28.5797419883051,28.5773892132343,28.5756246425501,28.5744482669192,28.5738600805444,
91.45,30.9194158940858,30.9173575766997,30.9138295748356,30.9108897066037,30.9085378983391,30.9067740930396,30.9055982468328,30.9050103309177,
91.5,33.5661359833055,33.5640789085498,33.5605533357946,33.5576157025379,33.5552658200776,33.5535035394812,33.5523287479883,33.5517413709004,
91.55,36.4542165783453,36.4521615809348,36.4486400691004,36.445706172392,36.443359509757,36.4415997784875,36.4404267505558,36.4398402744479,
91.6,39.3662802061028,39.3642280859267,39.3607121988045,39.3577834777315,39.3554412751937,39.3536850753873,39.3525144905092,39.351929262549,
91.64999,41.9384002973873,41.9363511932996,41.9328412024866,41.9299179072245,41.9275803806206,41.9258278833518,41.9246598599715,41.9240759407024,
91.7,43.8186753163601,43.8166282267669,43.8131221743734,43.8102025035706,43.8078681007954,43.8061180772704,43.8049517653922,43.80436872058,
91.74999,44.8942857511969,44.8922392819086,44.8887344423875,44.8858158880281,44.8834824477295,44.8817331865583,44.8805674022208,44.8799846269746,
91.8,45.2871626322486,45.2851161401795,45.2816112562001,45.2786926610629,45.2763591857477,45.2746098969389,45.2734440935294,45.2728613085545,
91.85,45.1677249506448,45.1656784538995,45.1621735607616,45.1592549571702,45.1569214745448,45.1551721799301,45.1540063724947,45.15342358546,
91.9,44.6557685150961,44.653722156858,44.6502175344628,44.6472991799554,44.6449659119377,44.6432167872189,44.6420510973015,44.6414683703015,
91.95,43.8234280479068,43.8213819084728,43.8178777138023,43.8149597528429,43.8126268239392,43.8108779677096,43.8097124635223,43.809129831408,
92,42.7186985073595,42.7166526046586,42.7131488727676,42.710231337622,42.7078987756464,42.7061502099352,42.7049849067213,42.7044023772816,
92.05,41.3809726541215,41.3789269630214,41.3754236447811,41.3725064902467,41.3701742562496,41.3684259502195,41.3672608266472,41.3666783889842,
92.09999,39.8484341130517,39.8463885737262,39.8428855521825,39.8399686706427,39.8376366718854,39.8358885521068,39.8347235573775,39.8341411855384,
92.14999,38.1603489543787,38.1583034724708,38.1548005631634,38.1518837848816,38.1495518750902,38.1478038257422,38.1466388797302,38.1460565327785,
92.2,36.3560867797883,36.3540412231241,36.3505381676628,36.3476212548726,36.3452892291463,36.3435410879858,36.3423760784497,36.3417936990409,
92.25,34.4722236105931,34.470177809717,34.4666742768292,34.4637569246994,34.4614245203429,34.4596760793653,34.458510862405,34.4579283770203,
